K,representation,ARI,NMI,Silhouette
22,Mordred Descriptors,-0.00796616702648569,0.06921279244027978,0.3146079686717865
23,Mordred Descriptors,-0.005215649020165732,0.08558835917498882,0.3118092974233689
24,Mordred Descriptors,-0.005327582162265349,0.0866682571926925,0.3055388467286975
25,Mordred Descriptors,-0.006175775281528021,0.08832678094639611,0.3067783453829086
2,RDKit+MACCS,0.00030570509108815257,0.0022666674059363292,0.6562519292405811
3,RDKit+MACCS,-0.00016260403350891358,0.0034099275799758626,0.6158716029415375
4,RDKit+MACCS,0.0003946420156146946,0.008033798582233551,0.5894796595253671
5,RDKit+MACCS,-7.20644329786496e-05,0.009152756820490902,0.5498592375944938
6,RDKit+MACCS,-0.0002166168939725746,0.012138540585379703,0.5422117459966409
7,RDKit+MACCS,9.247497962263527e-05,0.014332081034429504,0.5195657526400405
8,RDKit+MACCS,0.0005114187766690062,0.01941841827719218,0.46915654233744464
9,RDKit+MACCS,0.0004408586760728827,0.020858259352973068,0.4621461653244184
10,RDKit+MACCS,-3.196759305514637e-05,0.02190809697486812,0.4390981370416479
11,RDKit+MACCS,0.000500549104511119,0.025465729196658064,0.4175747434493955
12,RDKit+MACCS,0.0007412874897682236,0.027386963661903123,0.409713411243778
13,RDKit+MACCS,0.000672553686353018,0.028786136199186463,0.40540812956442773
14,RDKit+MACCS,-0.0050392901885393665,0.04217940093030988,0.378069937848574
15,RDKit+MACCS,-0.006358662827575125,0.04515062365725678,0.3751080355767054
16,RDKit+MACCS,-0.00583507198997377,0.048966102816401416,0.3625769241008358
17,RDKit+MACCS,-0.006276973116018667,0.04991125871268416,0.3430716160066467
18,RDKit+MACCS,-0.006285182115921834,0.05163734975853217,0.32577550821593926
19,RDKit+MACCS,-0.005609182840880538,0.05550760631182088,0.32564848401226004
20,RDKit+MACCS,-0.004889048252073221,0.05864477520294323,0.32287430414549534
21,RDKit+MACCS,-0.004726163491445411,0.06574948640292588,0.3289189058438138
22,RDKit+MACCS,-0.0007517369163713771,0.08302487660730247,0.3308346816823584
23,RDKit+MACCS,-0.0005122897794393395,0.08494986761059047,0.3212230378108824
24,RDKit+MACCS,0.0024529785052208814,0.10588323372199739,0.31543028736349094
25,RDKit+MACCS,0.002453571104853611,0.10679258225200089,0.3105249370252917
2,Transformer,0.01986031765371534,0.12662067217911346,0.27492589962502423
3,Transformer,0.019785487862988907,0.1380536899857564,0.23482285963420027
4,Transformer,0.016153888638304255,0.138945014498352,0.22105818708842337
5,Transformer,0.018515888904924296,0.14966957525512897,0.1262982292317464
6,Transformer,0.020316532029100328,0.16129185764393364,0.10625755342502112
7,Transformer,0.020729806351645598,0.16271720964731665,0.0981751884028116
8,Transformer,0.14861994016781827,0.3143765704119008,0.13503464542458038
9,Transformer,0.13472711221804748,0.3120118371604382,0.13766324234468372
10,Transformer,0.13445619798055153,0.31184729115215587,0.13139974953929395
11,Transformer,0.1344260351172908,0.3134464380099292,0.1285273921611468
12,Transformer,0.1342217030675433,0.3128243421333311,0.1264252506100724
13,Transformer,0.13488432991927243,0.31376548602278403,0.11746736784035235
14,Transformer,0.13641184357728095,0.31622229400766,0.11047247468435961
15,Transformer,0.14375219590405738,0.3315971891563501,0.10758888771773514
16,Transformer,0.1483146674350347,0.3398296461401923,0.1021775709940912
17,Transformer,0.16466624035896743,0.3790850615863743,0.10817133832210242
18,Transformer,0.1650017892127026,0.3821615979378382,0.10616237831570927
19,Transformer,0.17236776471517665,0.388795274613852,0.09931870058652444
20,Transformer,0.15283240697612155,0.3856255667840017,0.10711541546879919
21,Transformer,0.15489578256219932,0.38881652909753633,0.102055076476111
22,Transformer,0.1546411506039256,0.39402003303143807,0.09705119042646791
23,Transformer,0.15308715217140623,0.39319194486887615,0.09648116429915492
24,Transformer,0.1531155841721023,0.39460865099679,0.09497750697457372
25,Transformer,0.15312980135184226,0.39577623911366966,0.09345803674247588
